,Unnamed: 0,id,created_at,text,categories,Policy,Republican candidates,Polls,Attacking media,Democratic candidates,Attacking women (excluding Clinton),Kasich,Bush,Cruz,Rubio,Clinton,is_retweet,exclamation_count
22,22,7.214506345205842e+17,2016-04-16 21:30:09,"""@AshleyEdam: New CBS Poll shows defections from Cruz's core supporters &amp; increased support for @realDonaldTrump ...Not surprising.""","Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,0
23,23,7.198306797652705e+17,2016-04-12 10:13:02,"WOW, great new poll- New York! Thank you for your support! #Trump2016
#NewYorkValues https://t.co/kuvCXJXjcr https://t.co/WSVmdI8vfZ","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,2
24,24,7.189933451970273e+17,2016-04-10 02:45:46,"""@Theresa_Cali: Poll shows @realDonaldTrump leads among registered Republican women with 44%. 👍🏻 https://t.co/yQmh3iSPBY"" Thank you!","Polls, Republican candidates, Trump",False,True,True,False,False,False,False,False,False,False,False,False,1
25,25,7.148258455049421e+17,2016-03-29 14:45:37,How come the @TODAYshow &amp; @chucktodd show the new @NBCNews Poll for Hillary vs Bernie but do not show the SAME poll where I am killing Cruz?,"Polls, Attacking media, Cruz",False,False,True,True,False,False,False,False,True,False,False,False,0
26,26,7.138208236651192e+17,2016-03-26 20:12:01,"Don't believe the @FoxNews Polls, they are just another phony hit job on me. I will beat Hillary Clinton easily in the General Election.","Attacking media, Polls, Democratic candidates, Clinton",False,False,True,True,True,False,False,False,False,False,True,False,0
27,27,7.110843453567386e+17,2016-03-19 06:58:13,"""@cmichaeld2004: Realistic Trump Poll Numbers translate to the 70 percentile range in a two-man race. Gee, what happened to that 30% ceiling",Polls,False,False,True,False,False,False,False,False,False,False,False,False,0
28,28,7.109956838604841e+17,2016-03-19 01:05:55,"I guess I have reached yet another ""ceiling""  - 49.7%, with four people. My highest Reuters poll yet! Thank you! https://t.co/k5Ft585Arp","Polls, ",False,False,True,False,False,False,False,False,False,False,False,False,2
29,29,7.09893207845376e+17,2016-03-16 00:05:04,"Can't watch Crazy Megyn anymore. Talks about me at 43% but never mentions that there are four people in race. With two people, big &amp; over!","Attacking media, Polls",False,False,True,True,False,False,False,False,False,False,False,False,1
30,30,7.073536588837069e+17,2016-03-08 23:53:48,"I hear @NBCNews / @WSJ came out with another one of their phony polls. While I am leading, they are totally discredited after last S.C. poll","Attacking media, Polls",False,False,True,True,False,False,False,False,False,False,False,False,0
31,31,7.068087806008443e+17,2016-03-07 11:48:39,"Failed presidential candidate Lindsey Graham should respect me. I destroyed his run, brought him from 7% to 0% when he got out. Now nasty!","Attacking media, Republican candidates, Bush",False,True,False,True,False,False,False,True,False,False,False,False,1
32,32,7.061497936979026e+17,2016-03-05 16:10:05,"Why would anyone in Kentucky listen to failed presidential candidate Rand Paul re: caucus. Made a fool of himself (1%.)
KY his 2nd choice!","Attacking media, Republican candidates, Rand Paul",False,True,False,True,False,False,False,False,False,False,False,False,1
33,33,7.051705460032184e+17,2016-03-02 23:18:54,.@CNN poll just hit 49% for Trump. Interesting how my numbers have gone so far up since lightweight Marco Rubio has turned nasty. Love it!,"Polls, Attacking media, Rubio",False,False,True,True,False,False,False,False,False,True,False,False,1
34,34,7.035620756168499e+17,2016-02-27 12:47:25,"""@SassyPantsjj: Michigan GOP poll 2/24/2016 Trump 35.5 Rubio 15.0 Cruz 14.3 Kasich 12.8 Carson 8.3 @realDonaldTrump"" Wow!","Polls, Trump, Rubio, Cruz, Kasich",False,False,True,False,False,False,True,False,True,True,False,False,1
35,35,7.032525526414787e+17,2016-02-26 16:17:29,"Wow, every poll said I won the debate last night. Great honor!",Polls,False,False,True,False,False,False,False,False,False,False,False,False,1
36,36,7.03121943944237e+17,2016-02-26 07:38:29,"""@Slytle24: @davidaxelrod @realDonaldTrump @CNN he won almost all polls and Mark Halperin gave him an A-","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,0
37,37,7.03110934869336e+17,2016-02-26 06:54:44,"All the online polls have me winning the debate. I really enjoyed the evening. Not easy, but good. https://t.co/sLTmwVVM5I",Polls,False,False,True,False,False,False,False,False,False,False,False,False,0
38,38,7.031097059005358e+17,2016-02-26 06:49:51,"Thank you! #GOPDebate Polls 
#MakeAmericaGreatAgain https://t.co/At5vOiLCSy","Polls, ",False,False,True,False,False,False,False,False,False,False,False,False,1
39,39,7.027064129804534e+17,2016-02-25 04:07:19,Great new poll. Thank you Texas! #VoteTrump #MakeAmericaGreatAgain https://t.co/VHqAvsIyuW,"Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
40,40,7.026794864967066e+17,2016-02-25 02:20:19,Ted Cruz is lying again. Polls are showing that I do beat Hillary Clinton head to head. Check out https://t.co/45g7qpxq7T Poll snd Q Poll.,"Attacking media, Polls, Cruz, Clinton",False,False,True,True,False,False,False,False,True,False,True,False,0
41,41,7.02608e+17,2016-02-24 21:36:35,"The polls show that I picked up many Jeb Bush supporters. That is how I got to 46%. When others drop out, I will pick up more.  Sad but true","Polls, Bush",False,False,True,False,False,False,False,True,False,False,False,False,0
42,42,7.025266106464297e+17,2016-02-24 16:12:50,".@USATODAY Poll and @QuinnipiacPoll say that I beat both Hillary and Bernie, and I havn't even started on them yet!","Polls, Democratic candidates, Clinton",False,False,True,False,True,False,False,False,False,False,True,False,1
43,43,7.021802914486804e+17,2016-02-23 17:16:42,"Wow, great Ohio poll. Shows me leading by 5 points, beating K!","Polls, Kasich",False,False,True,False,False,False,True,False,False,False,False,False,1
44,44,7.01944029315924e+17,2016-02-23 01:37:52,"Thank you Michigan! #VoteTrumpMI
Trump 35%
Kasich 17%
Cruz 12%
Rubio 12%
Carson 9% 
Via: ARG","Polls, Trump, Kasich, Cruz, Rubio",False,False,True,False,False,False,True,False,True,True,False,False,1
45,45,7.019432390545326e+17,2016-02-23 01:34:44,"Great poll! Thank you North Carolina! 
#VoteTrumpNC on 3/15!
Trump 36%
Cruz 18%
Rubio 18%
Carson 10%
Kasich 7%
Via @SurveyUSA","Polls, Trump, Cruz, Rubio, Kasich",False,False,True,False,False,False,True,False,True,True,False,False,3
46,46,7.019406523391222e+17,2016-02-23 01:24:27,"Thank you Illinois! Great news! #VoteTrumpIL on 3/15!
Trump 28%
Cruz 15%
Rubio 14%
Kasich 13%
Bush 8%
Carson 6%
Simon Poll/SIU","Polls, Trump, Cruz, Rubio, Kasich, Bush",False,False,True,False,False,False,True,True,True,True,False,False,3
47,47,7.013740196443668e+17,2016-02-21 11:52:51,The failing @WSJ Wall Street Journal should fire both its pollster and its Editorial Board. Seldom has a paper been so wrong.Totally biased!,Attacking media,False,False,False,True,False,False,False,False,False,False,False,False,1
48,48,7.003202706204549e+17,2016-02-18 14:05:38,".@FoxNews is changing their  theme from ""fair and balanced"" to ""unfair and unbalanced."" But dying @WSJ is worse.Their phony poll is a  joke!","Attacking media, Polls",False,False,True,True,False,False,False,False,False,False,False,False,1
49,49,7.002953918420582e+17,2016-02-18 12:26:46,New CBS National Poll just out - massive lead for Trump. The Wall Street Journal/NBC Poll is a total joke. No wonder WSJ is doing so badly!,"Polls, Attacking media, Trump",False,False,True,True,False,False,False,False,False,False,False,False,1
50,50,7.002800131075236e+17,2016-02-18 11:25:40,I love being in South Carolina. We are leading big in all of the State polls - Saturday is a BIG day. MAKE AMERICA GREAT AGAIN!,Polls,False,False,True,False,False,False,False,False,False,False,False,False,1
51,51,7.002719352766341e+17,2016-02-18 10:53:34,"The just out USA Today National Poll, where I lead by big numbers, shows that in a head to head matchup, I beat both Hillary and Bernie.","Polls, Democratic candidates, Clinton",False,False,True,False,True,False,False,False,False,False,True,False,0
52,52,7.002696437899551e+17,2016-02-18 10:44:28,"Amazing that while I lead by big numbers in the new Q and and USA Today polls, the the press only wants to report on the phony WSJ/NBC poll.",Polls,False,False,True,False,False,False,False,False,False,False,False,False,0
53,53,6.99989532180136e+17,2016-02-17 16:11:24,"Jeb Bush just got contact lenses and got rid of the glasses. He wants to look cool, but it's far too late. 1% in Nevada!","Policy, Republican candidates, Bush",True,True,False,False,False,False,False,True,False,False,False,False,1
54,54,6.99989306333651e+17,2016-02-17 16:10:30,"Just out Nevada poll shows Jeb Bush at 1%, he should take his dumb mouthpiece, @LindseyGrahamSC, and just go home.","Polls, Republican candidates, Bush",False,True,True,False,False,False,False,True,False,False,False,False,0
55,55,6.995543256228864e+17,2016-02-16 11:22:02,"New PPP Poll just out - Trump up big, Cruz, Rubio and Bush down. The debate results, even with a stacked RNC audience, were wonderful!","Polls, Republican candidates, Trump, Cruz, Rubio, Bush",False,True,True,False,False,False,False,True,True,True,False,False,1
56,56,6.994477316061307e+17,2016-02-16 04:18:28,New South Carolina poll from PPP. Thank you! #VoteTrumpSC https://t.co/6618Oi6vle,"Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
57,57,6.989775988446372e+17,2016-02-14 21:10:20,"Wow, in the new CBS Poll I went way up into the forties! Thank you!",Polls,False,False,True,False,False,False,False,False,False,False,False,False,2
58,58,6.988532777067848e+17,2016-02-14 12:56:20,"Even though every poll, Time, Drudge etc., has me winning the debate by a lot, @FoxNews only puts negative people on. Biased - a total joke!","Polls, Attacking media",False,False,True,True,False,False,False,False,False,False,False,False,1
59,59,6.987551406024991e+17,2016-02-14 06:26:22,Hey @glennbeck- see how I beat your boy Ted- in your own Blaze poll? Your endorsement means nothing! #GOPDebate,"Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,1
60,60,6.987516418734449e+17,2016-02-14 06:12:28,"All polls have me winning debate big- Drudge, TIME, etc. Dopey Charles Krauthammer still nasty. He has zero cred- totally dishonest!","Polls, Attacking media",False,False,True,True,False,False,False,False,False,False,False,False,1
61,61,6.97882687923753e+17,2016-02-11 20:39:33,"We are getting reports from many voters that the Cruz people are back to doing very sleazy and dishonest ""pushpolls"" on me. We are watching!","Attacking media, Republican candidates, Cruz",False,True,False,True,False,False,False,False,True,False,False,False,1
62,62,6.970331066085417e+17,2016-02-09 12:23:37,The polls are now showing that I am the best to win the GENERAL ELECTION. States that are never in play for Repubs will be won by me. Great!,"Polls, Rubio",False,False,True,False,False,False,False,False,False,True,False,False,1
63,63,6.962811142693765e+17,2016-02-07 10:35:28,"""@JoeNBC: Latest UMass Tracking Poll. NH GOP Trump 35 (+1) Rubio 14 (-1) Cruz 13 (-1) Jeb 10 (+2) Kasich 10 (+2)""","Polls, Republican candidates, Trump, Rubio, Cruz, Jeb, Kasich",False,True,True,False,False,False,True,False,True,True,False,False,0
64,64,6.952787410486845e+17,2016-02-04 16:12:24,"Taking a helicopter to New Hampshire, boarding now. Amazing activity planned. New UMASS poll, very nice! https://t.co/xFvGE0dRlA",Polls,False,False,True,False,False,False,False,False,False,False,False,False,1
65,65,6.948799002563543e+17,2016-02-03 13:47:33,"Ted Cruz didn't win Iowa, he stole it. That is why all of the polls were so wrong and why he got far more votes than anticipated. Bad!","Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,1
66,66,6.938395254123766e+17,2016-01-31 16:53:28,"RT @CLewandowski_: Trump winning over Latino Republicans, poll says | New York Post https://t.co/yiC3zavrmi","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,True,0
67,67,6.93782388564865e+17,2016-01-31 13:06:25,"Ted Cruz is totally unelectable, if he even gets to run (born in Canada). Will loose big to Hillary. Polls show I beat Hillary easily! WIN!","Attacking media, Republican candidates, Polls, Cruz, Clinton",False,True,True,True,False,False,False,False,True,False,True,False,2
68,68,6.931169228089631e+17,2016-01-29 17:02:06,"Thank you!
Mitchell FOX2 Michigan Poll finds Trump holds 3-1 lead over closest GOP opponents. 
Trump 47% Clinton 43% https://t.co/xpaeV0YzGV","Polls, Trump, Clinton",False,False,True,False,False,False,False,False,False,False,True,False,1
69,69,6.930820038817751e+17,2016-01-29 14:43:21,Great Twitter poll- and I wasn't even there. Thank you! #GOPDebate https://t.co/yLJGkoOeBg,"Polls, Kasich",False,False,True,False,False,False,True,False,False,False,False,False,1
70,70,6.930548806221988e+17,2016-01-29 12:55:34,Good morning America! Thank you for all of your support in the latest Drudge poll! https://t.co/XDnixWnqwb https://t.co/yUTtLnALxy,Polls,False,False,True,False,False,False,False,False,False,False,False,False,2
71,71,6.928644171012874e+17,2016-01-29 00:18:44,"Watching biased Charles @krauthammer, a @FoxNews flunky who didn't know that I won every debate, in particular- the last one. Check polls!","Attacking media, Polls",False,False,True,True,False,False,False,False,False,False,False,False,1
72,72,6.927668544530063e+17,2016-01-28 17:51:03,"Tennessee GOP Poll
https://t.co/hfSxKaXC42
Trump 32.7%
Cruz 16.5%
Carson 6.6%
Rubio 5.3%
Christie 2.4%
Jeb 1.6%","Polls, Cruz, Rubio",False,False,True,False,False,False,False,False,True,True,False,False,0
73,73,6.926750942425784e+17,2016-01-28 11:46:26,"""@michaelG4NY: new @nbcnews WSJ poll shows @realDonaldTrump pulling ahead of @tedcruz in #Iowa. https://t.co/18ktk7IZUd""  Great!","Polls, Republican candidates, Trump, Cruz.",False,True,True,False,False,False,False,False,True,False,False,False,1
74,74,6.919672150972211e+17,2016-01-26 12:53:34,"""@realDonaldTrump hits new heights in national poll at 41%"" https://t.co/1Tzszrkh4j","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,0
75,75,6.919666499735224e+17,2016-01-26 12:51:20,"""Donald Trump retains national lead in new ABC News/WaPo poll with 37%: https://t.co/xPjA3TBbTa"" https://t.co/6Uaecpwqwm",Polls,False,False,True,False,False,False,False,False,False,False,False,False,0
76,76,6.917702089277522e+17,2016-01-25 23:50:44,"""@realDonaldTrump &amp; @HillaryClinton leading POLLS w/ one week until #IowaCaucus ...MORE on the 2016 elections TONIGHT on @FoxBusiness 7PM""","Polls, Democratic candidates, Clinton",False,False,True,False,True,False,False,False,False,False,True,False,0
77,77,6.917430525290127e+17,2016-01-25 22:02:50,Cruz going down fast in recent polls- dropping like a rock. Lies never work!,"Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,1
78,78,6.917425012129833e+17,2016-01-25 22:00:38,Ted Cruz is a nervous wreck. He is making reckless charges not caring for the truth! His poll #'s are way down!,"Attacking media, Polls, Cruz",False,False,True,True,False,False,False,False,True,False,False,False,2
79,79,6.916145828849541e+17,2016-01-25 13:32:20,"IPSOS/REUTERS POLL
Thank you! #Trump2016 
#MakeAmericaGreatAgain https://t.co/sbzp75EPSq","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
80,80,6.913664530109399e+17,2016-01-24 21:06:22,"Fox News Poll
Thank you, New Hampshire! #FITN
#Trump2016 https://t.co/jC1qisBbit","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
81,81,6.91287273996886e+17,2016-01-24 15:51:44,"New Fox News Poll
Thank you, Iowa! #Trump2016 
#IACaucus https://t.co/aCj0Hq20hV","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
82,82,6.90913646117974e+17,2016-01-23 15:07:04,"Ted Cruz poll numbers are down big. Because he was born in Canada and was, until recently, a Canadian citizen, many believe he cannot run!","Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,1
83,83,6.906849302594232e+17,2016-01-22 23:58:14,Ted Cruz went down big in just released Reuters poll - what's going on? Is it Goldman Sachs/Citi loans or Canada?,"Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,0
84,84,6.906805158005965e+17,2016-01-22 23:40:41,"Just received the new Fox poll.
Thank you, America! #Trump2016 https://t.co/QKNineuS8H","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
85,85,6.906724204331786e+17,2016-01-22 23:08:31,Wow! New National Zogby Poll just out:.TRUMP 45. CRUZ 13. RUBIO 8. Big numbers.,"Polls, Cruz, Rubio",False,False,True,False,False,False,False,False,True,True,False,False,1
86,86,6.906694966216335e+17,2016-01-22 22:56:54,Leaving Nevada now for Iowa. Things are looking good - great new polls!,Polls,False,False,True,False,False,False,False,False,False,False,False,False,1
87,87,6.90656497022337e+17,2016-01-22 22:05:15,"New National GOP Zogby Poll
#MakeAmericaGreatAgain #Trump2016
https://t.co/Ma6OABMYpF https://t.co/evqFrWKBD1","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,0
88,88,6.906417442877604e+17,2016-01-22 21:06:37,"New Reuters poll! Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/KDVZoUia4I","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,2
89,89,6.905601259169751e+17,2016-01-22 15:42:18,"After spending $89 million, @JebBush is at the bottom of the barrel in polls. He is ashamed to use the name ""Bush"" in ads. Low energy guy!","Polls, Republican candidates, Bush",False,True,True,False,False,False,False,True,False,False,False,False,1
90,90,6.905371219169239e+17,2016-01-22 14:10:54,"""@MiamiNewTimes: Poll: Trump has more support in Florida than Rubio and Bush combined. https://t.co/uvH2BKQRHf https://t.co/2tvIaa2aFr""","Polls, Rubio, Bush",False,False,True,False,False,False,False,True,False,True,False,False,0
91,91,6.899561874340209e+17,2016-01-20 23:42:28,New CNN/WMUR New Hampshire poll just released. Thank you! #FITN #Trump2016 https://t.co/sZr9taU20G,"Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
92,92,6.894824049903616e+17,2016-01-19 16:19:49,In the just released SC poll I increased my lead by 4 points since last poll by same firm. Up by 14! Cruz dropped 3. https://t.co/qM4JUsyaqH,"Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,1
93,93,6.894634437918802e+17,2016-01-19 15:04:29,"On my way to Iowa- just received new national poll numbers. Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/sQ9UEVW4Vp","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
94,94,6.894296036145029e+17,2016-01-19 12:50:01,"Wow, new polls just out have Trump up and Cruz down - he is a nervous wreck!","Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,1
95,95,6.89263744443138e+17,2016-01-19 01:50:57,Ted Cruz is falling in the polls. He is nervous. People are worried about his place of birth and his failure to report his loans from banks!,"Polls, Cruz",False,False,True,False,False,False,False,False,True,False,False,False,1
96,96,6.877799818003907e+17,2016-01-14 23:35:00,WSJ/NBC Poll: Donald Trump Widens His Lead in Republican Presidential Race. #Trump2016 https://t.co/r2i8FHPjB4,"Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,0
97,97,6.873535450630308e+17,2016-01-13 19:20:30,"THANK YOU, IOWA! Highly respected @OANN @GravisMarketing poll just released. #VoteTrump #IowaCaucus https://t.co/Ecs9XYXaXL","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
98,98,6.873392110290985e+17,2016-01-13 18:23:32,"RT @DRUDGE_REPORT: REUTERS ROLLING:  TRUMP 39%, CRUZ 14.5%, BUSH 10.6%, CARSON 9.6%, RUBIO 6.7%... MORE... https://t.co/nRhtbzcqP9","Polls, Trump, Cruz, Bush, Rubio",False,False,True,False,False,False,False,True,True,True,False,True,0
99,99,6.871486837129585e+17,2016-01-13 05:46:27,"Numerous polls have me beating Hillary Clinton. In a race with her, voter turnout will be the highest in U.S. history-I get most new voters!","Polls, Democratic candidates, Clinton",False,False,True,False,True,False,False,False,False,False,True,False,1
100,100,6.871282030313759e+17,2016-01-13 04:25:04,"Just found out that @tedcruz is spending a fortune on Iowa push polls negative to me. Not nice, but OK! New polls are great.","Polls, Attacking media, Cruz",False,False,True,True,False,False,False,False,True,False,False,False,1
101,101,6.871058486996623e+17,2016-01-13 02:56:14,"New CBS poll. #Trump2016
https://t.co/sFPRHHeLbd","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,0
102,102,6.870273649335501e+17,2016-01-12 21:44:22,Another new Iowa poll just released. Thank you! #IACaucus #FITN https://t.co/RGkrruqpM7,"Polls, ",False,False,True,False,False,False,False,False,False,False,False,False,1
103,103,6.86634552748585e+17,2016-01-11 19:43:29,"New Iowa poll. Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/19sshZ8dSu","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
104,104,6.862541214358077e+17,2016-01-10 18:31:47,"Heading now for Reno, Nevada, for a big rally. Good poll numberd all over!",Polls,False,False,True,False,False,False,False,False,False,False,False,False,1
105,105,6.86253395024298e+17,2016-01-10 18:28:54,"In the just out @FoxNews Poll, I easily beat Hillary Clinton - and I havn't even focused on her yet. On our way: MAKE AMERICA GREAT AGAIN!","Polls, Democratic candidates, Clinton",False,False,True,False,True,False,False,False,False,False,True,False,1
106,106,6.856000120432026e+17,2016-01-08 23:12:35,"#FoxNews Poll - THANK YOU!
#MakeAmericaGreatAgain #Trump2016 https://t.co/dKuyzLRTZ3","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
107,107,6.853023147401134e+17,2016-01-08 03:29:38,"""@LiberatedCit: @JebBush Key State Florida Poll: Trump 32% Beats #Rubio-#Bush Combined https://t.co/MKHc5nB27i https://t.co/ubJvEeCsom""","Polls, Bush, Rubio",False,False,True,False,False,False,False,True,False,True,False,False,0
108,108,6.84531959939371e+17,2016-01-06 00:28:31,I am in New Hampshire. Just received great news from Reuters poll. Thank you for your support! https://t.co/yzp9dGfbce,"Polls, Rubio",False,False,True,False,False,False,False,False,False,True,False,False,1
109,109,6.832607538104402e+17,2016-01-02 12:17:12,".@JebBush is a low energy ""stiff"" who should focus his special interest money on the many people ahead of him in the polls. Has no chance!","Attacking media, Republican candidates, Bush",False,True,False,True,False,False,False,True,False,False,False,False,1
110,110,6.82516874748375e+17,2015-12-31 11:01:18,"""@whispers34: Nevada Poll: Donald Trump 33%, Ted Cruz 20%, Marco Rubio 11%... https://t.co/Hniy4iAqNG via @thelastrefuge2""  Great news!","Polls, Cruz, Rubio, Trump",False,False,True,False,False,False,False,False,True,True,False,False,1
111,111,6.825026088341709e+17,2015-12-31 10:04:36,"People ask, ""why do you tweet and re-tweet to millions about @JebBush when he is so low in the polls?"" Because of his big $ hit ads on me!","Policy, Polls, Bush",True,False,True,False,False,False,False,True,False,False,False,False,1
112,112,6.824285368551178e+17,2015-12-31 05:10:16,".@JebBush has spent  $63,000,000 and is at the bottom of the polls. I have spent almost nothing and am at the top. WIN!  @hughhewitt","Polls, Bush",False,False,True,False,False,False,False,True,False,False,False,False,1
